date,rain,tmax,tmin,rhum,wspd
2022-03-01,0,29,17,62,1.8333333333333333
2022-03-02,0,32,15,57,1.8611111111111112
2022-03-03,0,33,17,65,1.7222222222222223
2022-03-04,0,32,17,57,1.5833333333333333
2022-03-05,0,33,16,52,2.0555555555555554
2022-03-06,0,36,16,54,1.7222222222222223
2022-03-07,0,37,18,54,1.9444444444444444
2022-03-08,0,38,19,57,1.5555555555555556
2022-03-09,0,35,19,55,2.111111111111111
2022-03-10,0,37,19,51,1.6111111111111112
2022-03-11,0,39,20,51,1.6666666666666667
2022-03-12,0,35,19,54,1.75
2022-03-13,0,31,19,56,2.1666666666666665
2022-03-14,0,35,16,58,1.6388888888888888
2022-03-15,0,35,19,57,1.3611111111111112
2022-03-16,0,35,18,55,1.9444444444444444
2022-03-17,0,37,18,56,2.2777777777777777
2022-03-18,0,38,19,56,1.8333333333333333
2022-03-19,0,37,20,55,2.3333333333333335
2022-03-20,0,34,19,56,1.8888888888888888
2022-03-21,0,33,18,57,1.4722222222222223
2022-03-22,0,38,17,52,2.111111111111111
2022-03-23,0,33,18,66,0.9444444444444444
2022-03-24,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-25,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-26,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-27,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-28,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-29,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-30,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-03-31,0,34.869565217391305,17.956521739130434,56.21739130434783,1.7995169082125604
2022-04-01,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-02,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-03,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-04,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-05,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-06,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-07,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-08,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-09,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-10,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-11,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-12,1.9799999999999998,32.4,19.8,68,1.2722222222222221
2022-04-13,1.9799999999999998,32.4,19.8,68,1.2722222222222221
